"","datafilePath","md5sum","fileSize","biologicalCategory","organisation","patientId","projectName","protocol","technicalPlatform"
"29","/odin/kdi/dataset/2217397/archive/M2_Sora_n2_S20_I1_001.fastq.gz","5cadb9d97e057f84c785632e6419f98b",420124751,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"30","/odin/kdi/dataset/2217397/archive/M2_Sora_n2_S20_I2_001.fastq.gz","5bc9df109a1fae76052f58129da4c7a1",460965957,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"31","/odin/kdi/dataset/2217397/archive/M2_Sora_n2_S20_R1_001.fastq.gz","d5611769a8697f316b52f520facbd4a3",3091695158,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"32","/odin/kdi/dataset/2217397/archive/M2_Sora_n2_S20_R2_001.fastq.gz","7482f5a308a0ef6c9ecd110c3a861f50",3237404832,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"33","/odin/kdi/dataset/2217398/archive/M2_Quiz_n4_S36_I1_001.fastq.gz","57cc32637f94bb4c7bdafbafc995e9d2",395611513,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"34","/odin/kdi/dataset/2217398/archive/M2_Quiz_n4_S36_I2_001.fastq.gz","0c35c97e4dc0dcb926199893b4cbb663",411457914,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"35","/odin/kdi/dataset/2217398/archive/M2_Quiz_n4_S36_R1_001.fastq.gz","bc0feab687f301dc96051f38b4ad77c2",3107791729,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"36","/odin/kdi/dataset/2217398/archive/M2_Quiz_n4_S36_R2_001.fastq.gz","b0d74456493642e105bcc7dec56e1796",3183772447,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"37","/odin/kdi/dataset/2217399/archive/M2_C1_n3_S21_I1_001.fastq.gz","69970c58928281e2475970f8466697ae",369523730,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"38","/odin/kdi/dataset/2217399/archive/M2_C1_n3_S21_I2_001.fastq.gz","af50be6672fa560f57b9992372689fb5",359686423,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
